,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,budget,openingweekend
24,tt0131704,movie,The Adventures of Rocky & Bullwinkle,The Adventures of Rocky & Bullwinkle,0,2000,\N,92,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76000000.0,6814270.0
25,tt0132245,movie,Driven,Driven,0,2001,\N,116,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,94000000.0,12174504.0
26,tt0133152,movie,Planet of the Apes,Planet of the Apes,0,2001,\N,119,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100000000.0,68532960.0
27,tt0133240,movie,Treasure Planet,Treasure Planet,0,2002,\N,95,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,140000000.0,12083248.0
28,tt0134084,movie,Scream 3,Scream 3,0,2000,\N,116,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,40000000.0,34713342.0
29,tt0134630,movie,Duets,Duets,0,2000,\N,112,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,15000000.0,2002588.0
30,tt0134847,movie,Pitch Black,Pitch Black,0,2000,\N,109,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,23000000.0,14015741.0
31,tt0134983,movie,Supernova,Supernova,0,2000,\N,90,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,90000000.0,6731940.0
32,tt0138524,movie,Intolerable Cruelty,Intolerable Cruelty,0,2003,\N,100,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,60000000.0,12525075.0
33,tt0138749,movie,The Road to El Dorado,The Road to El Dorado,0,2000,\N,89,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95000000.0,12846652.0
34,tt0138946,movie,The Yards,The Yards,0,2000,\N,115,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,24000000.0,57339.0
35,tt0139654,movie,Training Day,Training Day,0,2001,\N,122,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,45000000.0,22550788.0
36,tt0141907,movie,Town & Country,Town & Country,0,2001,\N,104,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,90000000.0,3029858.0
37,tt0141926,movie,U-571,U-571,0,2000,\N,116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,62000000.0,19553310.0
38,tt0144084,movie,American Psycho,American Psycho,0,2000,\N,102,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000.0,4961015.0
39,tt0144142,movie,Committed,Committed,0,2000,\N,98,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3000000.0,11452.0
40,tt0144528,movie,Nutty Professor II: The Klumps,Nutty Professor II: The Klumps,0,2000,\N,106,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,84000000.0,42518830.0
41,tt0144964,movie,Highlander: Endgame,Highlander: Endgame,0,2000,\N,87,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25000000.0,6223330.0
42,tt0145487,movie,Spider-Man,Spider-Man,0,2002,\N,121,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139000000.0,114844116.0
43,tt0145937,movie,Naqoyqatsi,Naqoyqatsi,0,2002,\N,89,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3000000.0,17154.0
44,tt0146309,movie,Thirteen Days,Thirteen Days,0,2000,\N,145,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,80000000.0,46668.0
45,tt0146316,movie,Lara Croft: Tomb Raider,Lara Croft: Tomb Raider,0,2001,\N,100,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,115000000.0,47735743.0
46,tt0149367,movie,Where the Money Is,Where the Money Is,0,2000,\N,89,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28000000.0,2513530.0
47,tt0149624,movie,All the Pretty Horses,All the Pretty Horses,0,2000,\N,116,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,57000000.0,4860556.0
48,tt0156812,movie,My Dog Skip,My Dog Skip,0,2000,\N,95,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6000000.0,56941.0
49,tt0156841,movie,The Next Best Thing,The Next Best Thing,0,2000,\N,108,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,25000000.0,5870387.0
50,tt0157472,movie,Clockstoppers,Clockstoppers,0,2002,\N,94,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26000000.0,10108333.0
51,tt0158622,movie,The Flintstones in Viva Rock Vegas,The Flintstones in Viva Rock Vegas,0,2000,\N,90,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,83000000.0,10518435.0
52,tt0159365,movie,Cold Mountain,Cold Mountain,0,2003,\N,154,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,79000000.0,14574213.0
53,tt0160127,movie,Charlie's Angels,Charlie's Angels,0,2000,\N,98,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93000000.0,40128550.0
54,tt0160184,movie,Eye See You,D-Tox,0,2002,\N,96,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,55000000.0,32300.0
55,tt0160484,movie,Lost Souls,Lost Souls,0,2000,\N,97,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,50000000.0,7954766.0
56,tt0160498,movie,Luminarias,Luminarias,0,2000,\N,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1000000.0,122158.0
57,tt0161083,movie,What's the Worst That Could Happen?,What's the Worst That Could Happen?,0,2001,\N,94,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000000.0,13049114.0
58,tt0162346,movie,Ghost World,Ghost World,0,2001,\N,111,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000.0,98791.0
59,tt0162650,movie,Shaft,Shaft,0,2000,\N,99,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,46000000.0,21714757.0
60,tt0162838,movie,Three Days of Rain,Three Days of Rain,0,2002,\N,98,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3500000.0,2841.0
61,tt0162983,movie,Hanging Up,Hanging Up,0,2000,\N,94,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60000000.0,13567978.0
62,tt0163676,movie,The In Crowd,The In Crowd,0,2000,\N,105,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,12500000.0,1505551.0
63,tt0163978,movie,The Beach,The Beach,0,2000,\N,119,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,50000000.0,15277921.0
64,tt0164003,movie,City of Ghosts,City of Ghosts,0,2002,\N,116,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,17500000.0,30547.0
65,tt0164052,movie,Hollow Man,Hollow Man,0,2000,\N,112,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,95000000.0,26414386.0
66,tt0164184,movie,The Sum of All Fears,The Sum of All Fears,0,2002,\N,124,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,68000000.0,31178526.0
67,tt0164334,movie,Along Came a Spider,Along Came a Spider,0,2001,\N,104,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,60000000.0,16712407.0
68,tt0165929,movie,Romeo Must Die,Romeo Must Die,0,2000,\N,115,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25000000.0,18014503.0
69,tt0165982,movie,Sinbad: Legend of the Seven Seas,Sinbad: Legend of the Seven Seas,0,2003,\N,86,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000000.0,6874477.0
70,tt0166110,movie,Bones,Bones,0,2001,\N,96,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16000000.0,2823548.0
71,tt0166813,movie,Spirit: Stallion of the Cimarron,Spirit: Stallion of the Cimarron,0,2002,\N,83,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,80000000.0,23213736.0
72,tt0166924,movie,Mulholland Dr.,Mulholland Dr.,0,2001,\N,147,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,15000000.0,960558.0
73,tt0167190,movie,Hellboy,Hellboy,0,2004,\N,122,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,66000000.0,23172440.0
74,tt0167203,movie,I Dreamed of Africa,I Dreamed of Africa,0,2000,\N,114,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,50000000.0,2411445.0
75,tt0167260,movie,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,0,2003,\N,201,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,94000000.0,72629713.0
76,tt0167261,movie,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,0,2002,\N,179,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,94000000.0,727645.0
77,tt0167456,movie,Thunderbirds,Thunderbirds,0,2004,\N,95,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57000000.0,2766810.0
78,tt0168446,movie,Aberdeen,Aberdeen,0,2000,\N,113,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6500000.0,1963.0
79,tt0168629,movie,Dancer in the Dark,Dancer in the Dark,0,2000,\N,140,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,12800000.0,91612.0
80,tt0168786,movie,Antwone Fisher,Antwone Fisher,0,2002,\N,120,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12500000.0,210013.0
81,tt0169102,movie,Lagaan: Once Upon a Time in India,Lagaan: Once Upon a Time in India,0,2001,\N,224,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,6000000.0,10736.0
82,tt0170016,movie,How the Grinch Stole Christmas,How the Grinch Stole Christmas,0,2000,\N,104,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,123000000.0,55082330.0
83,tt0171356,movie,Gun Shy,Gun Shy,0,2000,\N,101,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10000000.0,703109.0
84,tt0171359,movie,Hamlet,Hamlet,0,2000,\N,112,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2000000.0,62253.0
85,tt0171433,movie,Keeping the Faith,Keeping the Faith,0,2000,\N,128,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,29000000.0,8078671.0
86,tt0171580,movie,Nurse Betty,Nurse Betty,0,2000,\N,110,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24000000.0,7145950.0
87,tt0172156,movie,Bad Boys II,Bad Boys II,0,2003,\N,147,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130000000.0,46522560.0
88,tt0172495,movie,Gladiator,Gladiator,0,2000,\N,155,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,103000000.0,34819017.0
89,tt0173716,movie,Cecil B. DeMented,Cecil B. DeMented,0,2000,\N,87,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10000000.0,127141.0
90,tt0174336,movie,Whipped,Whipped,0,2000,\N,82,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3000000.0,2729625.0
91,tt0174480,movie,Autumn in New York,Autumn in New York,0,2000,\N,103,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,65000000.0,10987006.0
92,tt0175142,movie,Scary Movie,Scary Movie,0,2000,\N,88,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19000000.0,42346669.0
93,tt0176783,movie,Gossip,Gossip,0,2000,\N,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,24000000.0,2321729.0
94,tt0177650,movie,Company Man,Company Man,0,2000,\N,95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16000000.0,74743.0
95,tt0177971,movie,The Perfect Storm,The Perfect Storm,0,2000,\N,130,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,140000000.0,41325042.0
96,tt0179098,movie,Moonlight Mile,Moonlight Mile,0,2002,\N,117,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,21000000.0,329771.0
97,tt0179473,movie,"South of Heaven, West of Hell","South of Heaven, West of Hell",0,2000,\N,104,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4000000.0,16609.0
98,tt0179626,movie,15 Minutes,15 Minutes,0,2001,\N,120,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60000000.0,10523154.0
99,tt0180052,movie,The Adventures of Pluto Nash,The Adventures of Pluto Nash,0,2002,\N,95,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100000000.0,2182900.0
100,tt0180073,movie,Quills,Quills,0,2000,\N,124,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13500000.0,249383.0
101,tt0180093,movie,Requiem for a Dream,Requiem for a Dream,0,2000,\N,102,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4500000.0,64770.0
102,tt0180734,movie,Hardball,Hard Ball,0,2001,\N,106,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,32000000.0,9386342.0
103,tt0181151,movie,What Planet Are You From?,What Planet Are You From?,0,2000,\N,105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,60000000.0,3008746.0
104,tt0181536,movie,Finding Forrester,Finding Forrester,0,2000,\N,136,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43000000.0,701207.0
105,tt0181689,movie,Minority Report,Minority Report,0,2002,\N,145,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102000000.0,35677125.0
106,tt0181739,movie,Osmosis Jones,Osmosis Jones,0,2001,\N,95,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70000000.0,5271248.0
107,tt0181852,movie,Terminator 3: Rise of the Machines,Terminator 3: Rise of the Machines,0,2003,\N,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,200000000.0,44041440.0
108,tt0181865,movie,Traffic,Traffic,0,2000,\N,147,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,48000000.0,15517549.0
109,tt0181875,movie,Almost Famous,Almost Famous,0,2000,\N,122,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60000000.0,2314646.0
110,tt0181984,movie,Boiler Room,Boiler Room,0,2000,\N,120,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7000000.0,6722884.0
111,tt0182000,movie,The Caveman's Valentine,The Caveman's Valentine,0,2001,\N,105,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,13500000.0,112041.0
112,tt0182295,movie,Love's Labour's Lost,Love's Labour's Lost,0,2000,\N,93,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,13000000.0,24496.0
113,tt0182508,movie,Urbania,Urbania,0,2000,\N,103,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,225000.0,72129.0
114,tt0183505,movie,"Me, Myself & Irene","Me, Myself & Irene",0,2000,\N,116,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51000000.0,24209385.0
115,tt0183523,movie,Mission to Mars,Mission to Mars,0,2000,\N,114,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,100000000.0,22855247.0
116,tt0183649,movie,Phone Booth,Phone Booth,0,2002,\N,81,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,13000000.0,15021088.0
117,tt0183659,movie,Pollock,Pollock,0,2000,\N,122,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6000000.0,305744.0
118,tt0183790,movie,A Knight's Tale,A Knight's Tale,0,2001,\N,132,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,65000000.0,16511391.0
119,tt0184791,movie,O,O,0,2001,\N,95,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,5000000.0,6916625.0
120,tt0184894,movie,Shanghai Noon,Shanghai Noon,0,2000,\N,110,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55000000.0,19647065.0
121,tt0184907,movie,Snow Day,Snow Day,0,2000,\N,89,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13000000.0,14331819.0
122,tt0185183,movie,Battlefield Earth,Battlefield Earth,0,2000,\N,118,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,73000000.0,11548898.0
123,tt0185431,movie,Little Nicky,Little Nicky,0,2000,\N,90,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,85000000.0,16063904.0
124,tt0186045,movie,Drowning Mona,Drowning Mona,0,2000,\N,96,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6000000.0,5802229.0
125,tt0186566,movie,Space Cowboys,Space Cowboys,0,2000,\N,130,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,65000000.0,18093776.0
126,tt0186894,movie,Bounce,Bounce,0,2000,\N,106,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,35000000.0,11423716.0
127,tt0186975,movie,Down to You,Down to You,0,2000,\N,91,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,35000000.0,7602507.0
128,tt0187078,movie,Gone in Sixty Seconds,Gone in Sixty Seconds,0,2000,\N,118,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90000000.0,25336048.0
129,tt0187393,movie,The Patriot,The Patriot,0,2000,\N,165,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,110000000.0,22413710.0
130,tt0188160,movie,Price of Glory,Price of Glory,0,2000,\N,118,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,18000000.0,1611833.0
131,tt0188453,movie,Birthday Girl,Birthday Girl,0,2001,\N,93,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13000000.0,2370809.0
132,tt0189192,movie,Just Visiting,Just Visiting,0,2001,\N,88,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,35000000.0,2272489.0
133,tt0189998,movie,Shadow of the Vampire,Shadow of the Vampire,0,2000,\N,92,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8000000.0,94390.0
134,tt0190138,movie,The Whole Nine Yards,The Whole Nine Yards,0,2000,\N,98,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41300000.0,15915676.0
135,tt0190332,movie,"Crouching Tiger, Hidden Dragon",Wo hu cang long,0,2000,\N,120,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17000000.0,663205.0
136,tt0190374,movie,Dungeons & Dragons,Dungeons & Dragons,0,2000,\N,107,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45000000.0,7237422.0
137,tt0190590,movie,"O Brother, Where Art Thou?","O Brother, Where Art Thou?",0,2000,\N,107,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26000000.0,195104.0
138,tt0190861,movie,Vatel,Vatel,0,2000,\N,103,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,36000000.0,8591.0
139,tt0190865,movie,Vertical Limit,Vertical Limit,0,2000,\N,124,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,75000000.0,15507845.0
140,tt0191397,movie,The Replacements,The Replacements,0,2000,\N,118,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50000000.0,11039214.0
141,tt0191754,movie,28 Days,28 Days,0,2000,\N,103,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43000000.0,10310672.0
142,tt0192111,movie,Head Over Heels,Head Over Heels,0,2001,\N,86,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,14000000.0,4804595.0
143,tt0192255,movie,The Little Vampire,The Little Vampire,0,2000,\N,95,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35000000.0,5719627.0
144,tt0192731,movie,Urban Legends: Final Cut,Urban Legends: Final Cut,0,2000,\N,97,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,14000000.0,8505513.0
145,tt0193135,movie,Enemies of Laughter,Enemies of Laughter,0,2000,\N,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2500000.0,35000.0
146,tt0195234,movie,Saving Grace,Saving Grace,0,2000,\N,93,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000.0,287452.0
147,tt0195714,movie,Final Destination,Final Destination,0,2000,\N,98,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,23000000.0,10015822.0
148,tt0195778,movie,Here on Earth,Here on Earth,0,2000,\N,96,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,15000000.0,4510705.0
